sample_name,uploader,upload_date,runtime_seconds,overall_job_status,host_filtering_status,nonhost_alignment_status,postprocessing_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CHRF_DNA_0074_C_S10,,2018-04-27 19:55:34 -0700,22987.0,COMPLETE,LOADED,LOADED,LOADED,112743798,28902,0.026,66.371,1.05,,,,Human,
CHRF_DNA_0075_C_S18,,2018-04-27 19:55:34 -0700,47814.0,COMPLETE,LOADED,LOADED,LOADED,99062298,48778,0.049,82.046,1.06,,,,Human,
CHRF_DNA_0076_C_S26,,2018-04-27 19:55:34 -0700,42151.0,COMPLETE,LOADED,LOADED,LOADED,67616456,112470,0.166,88.321,1.06,,DNA,,Human,Strep pneumonia confirmed
CHRF_DNA_0077_C_S34,,2018-04-27 19:55:34 -0700,50303.0,COMPLETE,LOADED,LOADED,LOADED,48021338,1275120,2.655,54.962,3.1,,,,Human,
CHRF_DNA_0078_C_S42,,2018-04-27 19:55:35 -0700,62786.0,COMPLETE,LOADED,LOADED,LOADED,40622196,1326332,3.265,43.106,1.95,,,,Human,
CHRF_DNA_0079_C_S50,,2018-04-27 19:55:35 -0700,62815.0,COMPLETE,LOADED,LOADED,LOADED,62580576,797472,1.274,47.337,1.34,,,,Human,
CHRF_DNA_0080_C_S58,,2018-04-27 19:55:35 -0700,65767.0,COMPLETE,LOADED,LOADED,LOADED,61209136,420586,0.687,49.392,1.14,,,,Human,"0063 should have been Neisseria, and is by RNA"
CHRF_DNA_0081_C_S66,,2018-04-27 19:55:35 -0700,73124.0,COMPLETE,LOADED,LOADED,LOADED,143729480,49812,0.035,55.552,1.06,,,,Human,
CHRF_DNA_0082_C_S74,,2018-04-27 19:55:36 -0700,71052.0,COMPLETE,LOADED,LOADED,LOADED,117844086,134340,0.114,71.107,1.07,,,,Human,
CHRF_DNA_0083_C_S82,,2018-04-27 19:55:36 -0700,22780.0,COMPLETE,LOADED,LOADED,LOADED,156816418,1653870,1.055,86.149,1.09,,,,Human,
CHRF_DNA_0084_C_S90,,2018-04-27 19:55:36 -0700,1392.0,COMPLETE,LOADED,LOADED,LOADED,100385936,407066,0.406,74.018,1.07,,,,Human,
CHRF_DNA_0085_C_S3,,2018-04-27 19:55:34 -0700,11741.0,COMPLETE,LOADED,LOADED,LOADED,74607138,28976,0.039,49.815,1.04,,,,Human,
CHRF_DNA_0086_C_S11,,2018-04-27 19:55:34 -0700,31668.0,COMPLETE,LOADED,LOADED,LOADED,96691062,40114,0.041,46.879,1.05,,,,Human,
CHRF_DNA_0087_C_S19,,2018-04-27 19:55:34 -0700,47353.0,COMPLETE,LOADED,LOADED,LOADED,90544440,30600,0.034,84.004,1.06,,,,Human,
CHRF_DNA_0088_C_S27,,2018-04-27 19:55:34 -0700,48847.0,COMPLETE,LOADED,LOADED,LOADED,84320248,314428,0.373,48.552,1.05,,DNA,Bangladesh,Human,Confirmed Elizabethkingia
CHRF_DNA_0089_C_S35,,2018-04-27 19:55:35 -0700,68150.0,COMPLETE,LOADED,LOADED,LOADED,45394088,2042590,4.5,52.662,4.42,,,,Human,
CHRF_DNA_0090_C_S43,,2018-04-27 19:55:35 -0700,65033.0,COMPLETE,LOADED,LOADED,LOADED,53665700,1125588,2.097,53.341,1.83,,,,Human,
CHRF_DNA_0091_C_S51,,2018-04-27 19:55:35 -0700,102996.0,COMPLETE,LOADED,LOADED,LOADED,48374404,3081612,6.37,64.993,2.62,,,,Human,
CHRF_DNA_0092_C_S59,,2018-04-27 19:55:35 -0700,65554.0,COMPLETE,LOADED,LOADED,LOADED,56171386,941944,1.677,52.1,1.54,,,,Human,
CHRF_DNA_0093_C_S67,,2018-04-27 19:55:35 -0700,1061.0,COMPLETE,LOADED,LOADED,LOADED,56152950,957210,1.705,52.326,2.17,,,,Human,
CHRF_DNA_0094_C_S75,,2018-04-27 19:55:36 -0700,67846.0,COMPLETE,LOADED,LOADED,LOADED,110263834,319252,0.29,75.062,1.08,,,,Human,
CHRF_DNA_0095_C_S83,,2018-04-27 19:55:36 -0700,70480.0,COMPLETE,LOADED,LOADED,LOADED,153218400,44488,0.029,49.315,1.05,,,,Human,
CHRF_DNA_0096_C_S91,,2018-04-27 19:55:36 -0700,65196.0,COMPLETE,LOADED,LOADED,LOADED,17293534,1544540,8.931,53.246,4.32,,,,Human,
H2O-3_4-13_extraction_C_S95,,2018-04-27 19:55:36 -0700,62897.0,COMPLETE,LOADED,LOADED,LOADED,9111516,817648,8.974,52.21,4.4,,,,Human,
H2O_not_extracted2_C_S86,,2018-04-27 19:55:36 -0700,60382.0,COMPLETE,LOADED,LOADED,LOADED,13793122,36846,0.267,7.271,6.88,,,,Human,
H2O_not_extracted3_C_S96,,2018-04-27 19:55:36 -0700,60968.0,COMPLETE,LOADED,LOADED,LOADED,12146558,91848,0.756,10.585,1.8,,,,Human,
H2O_not_extracted_C_S85,,2018-04-27 19:55:36 -0700,60181.0,COMPLETE,LOADED,LOADED,LOADED,4527804,22086,0.488,9.411,6.82,,,,Human,
